"","Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"1","S3",2001,2001,2001,1,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0","Food and live animals",1,"No Quantity",NA,NA,NA,NA,NA,NA,194411909,NA,NA,0
"2","S3",2001,2001,2001,2,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"00","LIVE ANIMALS",1,"No Quantity",NA,NA,NA,NA,NA,NA,158524,NA,NA,0
"3","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"001","LIVE ANIMALS",5,"Number of items",87,NA,NA,NA,1826,NA,158524,NA,NA,0
"4","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0015","Equine species, live",5,"Number of items",3,NA,NA,NA,1500,NA,13728,NA,NA,0
"5","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"00151","Horses, live",5,"Number of items",3,NA,NA,NA,1500,NA,13728,NA,NA,0
"6","S3",2001,2001,2001,4,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0019","Live animals, n.e.s.",5,"Number of items",84,NA,NA,NA,326,NA,144796,NA,NA,0
"7","S3",2001,2001,2001,2,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01","MEAT, MEAT PREPARATIONS",1,"No Quantity",NA,NA,NA,NA,NA,NA,127859,NA,NA,0
"8","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"012","OTHER MEAT, MEAT OFFAL",8,"Weight in kilograms",72000,NA,NA,NA,72000,NA,127859,NA,NA,0
"9","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0129","Meat,edible offal, nes",8,"Weight in kilograms",72000,NA,NA,NA,72000,NA,127859,NA,NA,0
"10","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01291","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",8,"Weight in kilograms",72000,NA,NA,NA,72000,NA,127859,NA,NA,0
"11","S3",2001,2001,2001,2,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03","FISH,CRUSTACEANS,MOLLUSC",1,"No Quantity",NA,NA,NA,NA,NA,NA,64017992,NA,NA,0
"12","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"034","FISH,FRESH,CHILLED,FROZN",8,"Weight in kilograms",19599051,NA,NA,NA,19599051,NA,56129490,NA,NA,0
"13","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0341","Fish,fresh,chilled,whole",8,"Weight in kilograms",80216,NA,NA,NA,80216,NA,817132,NA,NA,0
"14","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03411","Fish, live",8,"Weight in kilograms",80216,NA,NA,NA,80216,NA,817132,NA,NA,0
"15","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0342","Fish,frozen ex.fillets",8,"Weight in kilograms",499323,NA,NA,NA,499323,NA,1535682,NA,NA,0
"16","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03421","Salmonidae, frozen (excluding livers and roes)",8,"Weight in kilograms",31973,NA,NA,NA,31973,NA,114589,NA,NA,0
"17","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03428","Other fish, frozen (excluding livers and roes)",8,"Weight in kilograms",467350,NA,NA,NA,467350,NA,1421093,NA,NA,0
"18","S3",2001,2001,2001,4,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0344","Fish fillets, frozen",8,"Weight in kilograms",18708147,NA,NA,NA,18708147,NA,53340683,NA,NA,0
"19","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0345","Fish fillets,frsh,chilld",8,"Weight in kilograms",311365,NA,NA,NA,311365,NA,435993,NA,NA,0
"20","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03451","Fish fillets and other fish meat, fresh or chilled",8,"Weight in kilograms",102486,NA,NA,NA,102486,NA,218172,NA,NA,0
"21","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03455","Fish meat (other than fillets), frozen",8,"Weight in kilograms",208879,NA,NA,NA,208879,NA,217822,NA,NA,0
"22","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"035","FISH,DRIED,SALTED,SMOKED",8,"Weight in kilograms",76091,NA,NA,NA,76091,NA,296034,NA,NA,0
"23","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0351","Fish,dried,salted",8,"Weight in kilograms",26949,NA,NA,NA,26949,NA,115059,NA,NA,0
"24","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03511","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), not in fillets, drie",8,"Weight in kilograms",15040,NA,NA,NA,15040,NA,55589,NA,NA,0
"25","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03513","Fish (excluding fillets), dried, whether or not salted, but not smoked, n",8,"Weight in kilograms",11909,NA,NA,NA,11909,NA,59470,NA,NA,0
"26","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0352","Fish salted or in brine",8,"Weight in kilograms",49142,NA,NA,NA,49142,NA,180974,NA,NA,0
"27","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03521","Cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), salted (but not drie",8,"Weight in kilograms",7520,NA,NA,NA,7520,NA,29257,NA,NA,0
"28","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03529","Other fish, salted (but not dried or smoked) or in brine",8,"Weight in kilograms",41622,NA,NA,NA,41622,NA,151717,NA,NA,0
"29","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"036","CRUSTACEANS,MOLLUSCS ETC",8,"Weight in kilograms",440588,NA,NA,NA,440588,NA,2208716,NA,NA,0
"30","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0361","Crustaceans, frozen",8,"Weight in kilograms",251416,NA,NA,NA,251416,NA,1715494,NA,NA,0
"31","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03611","Shrimps and prawns, frozen",8,"Weight in kilograms",198568,NA,NA,NA,198568,NA,1498152,NA,NA,0
"32","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03619","Other crustaceans, frozen, including flours, meals and pellets of crustac",8,"Weight in kilograms",52848,NA,NA,NA,52848,NA,217342,NA,NA,0
"33","S3",2001,2001,2001,4,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0362","Crustaceans, other than frozen, including flours, meals and pellets of cr",8,"Weight in kilograms",10503,NA,NA,NA,10503,NA,33506,NA,NA,0
"34","S3",2001,2001,2001,4,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0363","Molluscs",8,"Weight in kilograms",178669,NA,NA,NA,178669,NA,459716,NA,NA,0
"35","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03637","Cuttlefish, octopus and squid, frozen, dried, salted or in brine; flours,",8,"Weight in kilograms",39999,NA,NA,NA,39999,NA,164693,NA,NA,0
"36","S3",2001,2001,2001,5,1,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03639","Other molluscs and aquatic invertebrates, frozen, dried, salted or in bri",8,"Weight in kilograms",138670,NA,NA,NA,138670,NA,295023,NA,NA,0
"37","S3",2001,2001,2001,3,0,1,"Import",826,"United Kingdom","GBR",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"037","FISH ETC.PREPD,PRSVD.NES",8,"Weight in kilograms",1663612,NA,NA,NA,1663612,NA,5383752,NA,NA,0
