"","Classification","Year","Period","Period.Desc.","Aggregate.Level","Is.Leaf.Code","Trade.Flow.Code","Trade.Flow","Reporter.Code","Reporter","Reporter.ISO","Partner.Code","Partner","Partner.ISO","X2nd.Partner.Code","X2nd.Partner","X2nd.Partner.ISO","Customs.Proc..Code","Customs","Mode.of.Transport.Code","Mode.of.Transport","Commodity.Code","Commodity","Qty.Unit.Code","Qty.Unit","Qty","Alt.Qty.Unit.Code","Alt.Qty.Unit","Alt.Qty","Netweight..kg.","Gross.weight..kg.","Trade.Value..US..","CIF.Trade.Value..US..","FOB.Trade.Value..US..","Flag"
"1","S3",2002,2002,2002,1,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0","Food and live animals",1,"No Quantity",NA,NA,NA,NA,NA,NA,1632229905,NA,NA,0
"2","S3",2002,2002,2002,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"00","LIVE ANIMALS",1,"No Quantity",NA,NA,NA,NA,NA,NA,12001814,NA,NA,0
"3","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"001","LIVE ANIMALS",8,"Weight in kilograms",66149,NA,NA,NA,66149,NA,12001814,NA,NA,4
"4","S3",2002,2002,2002,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0019","Live animals, n.e.s.",8,"Weight in kilograms",66149,NA,NA,NA,66149,NA,12001814,NA,NA,4
"5","S3",2002,2002,2002,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01","MEAT, MEAT PREPARATIONS",1,"No Quantity",NA,NA,NA,NA,NA,NA,8685751,NA,NA,0
"6","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"012","OTHER MEAT, MEAT OFFAL",8,"Weight in kilograms",2070990,NA,NA,NA,2070990,NA,8658787,NA,NA,6
"7","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0122","Meat of swine",8,"Weight in kilograms",15173,NA,NA,NA,15173,NA,26250,NA,NA,6
"8","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01222","Meat of swine, frozen",8,"Weight in kilograms",15173,NA,NA,NA,15173,NA,26250,NA,NA,6
"9","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0129","Meat,edible offal, nes",8,"Weight in kilograms",2055817,NA,NA,NA,2055817,NA,8632537,NA,NA,6
"10","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01291","Meat and edible meat offal of rabbits or hares, fresh, chilled or frozen",8,"Weight in kilograms",301393,NA,NA,NA,301393,NA,1013143,NA,NA,6
"11","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01292","Frogs' legs, fresh, chilled or frozen",8,"Weight in kilograms",1732921,NA,NA,NA,1732921,NA,7520459,NA,NA,6
"12","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01293","Snails (other than sea snails)",8,"Weight in kilograms",14044,NA,NA,NA,14044,NA,50475,NA,NA,6
"13","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"01299","Other meat and edible meat offal, fresh, chilled or frozen",8,"Weight in kilograms",7460,NA,NA,NA,7460,NA,48460,NA,NA,6
"14","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"017","MEAT,OFFL.PRPD,PRSVD,NES",8,"Weight in kilograms",5137,NA,NA,NA,5137,NA,26964,NA,NA,6
"15","S3",2002,2002,2002,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0171","Extracts and juices of meat, fish or crustaceans, molluscs or other aquat",8,"Weight in kilograms",5137,NA,NA,NA,5137,NA,26964,NA,NA,6
"16","S3",2002,2002,2002,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"02","DAIRY PRODUCTS,BIRD EGGS",1,"No Quantity",NA,NA,NA,NA,NA,NA,4009373,NA,NA,0
"17","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"022","MILK AND CREAM",1,"No Quantity",NA,NA,NA,NA,NA,NA,5287,NA,NA,0
"18","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0223","Milk products",1,"No Quantity",NA,NA,NA,NA,NA,NA,5287,NA,NA,0
"19","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"02231","Yogurt, whether or not concentrated or containing added sugar or other sw",1,"No Quantity",NA,NA,NA,NA,NA,NA,5287,NA,NA,0
"20","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"025","EGGS,BIRDS,YOLKS,ALBUMIN",1,"No Quantity",NA,NA,NA,NA,NA,NA,4004086,NA,NA,0
"21","S3",2002,2002,2002,4,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0251","Birds' eggs, in shell, fresh, preserved or cooked",1,"No Quantity",NA,NA,NA,NA,NA,NA,3843080,NA,NA,0
"22","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0252","Bird eggs unshelld;yolks",1,"No Quantity",NA,NA,NA,NA,NA,NA,161006,NA,NA,0
"23","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"02522","Birds' eggs, not in shell, and egg yolks, other than dried",1,"No Quantity",NA,NA,NA,NA,NA,NA,161006,NA,NA,0
"24","S3",2002,2002,2002,2,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03","FISH,CRUSTACEANS,MOLLUSC",1,"No Quantity",NA,NA,NA,NA,NA,NA,911257721,NA,NA,0
"25","S3",2002,2002,2002,3,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"034","FISH,FRESH,CHILLED,FROZN",8,"Weight in kilograms",135077249,NA,NA,NA,135077249,NA,397061455,NA,NA,6
"26","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0341","Fish,fresh,chilled,whole",8,"Weight in kilograms",735200,NA,NA,NA,735200,NA,3786953,NA,NA,6
"27","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03411","Fish, live",8,"Weight in kilograms",57367,NA,NA,NA,57367,NA,792737,NA,NA,6
"28","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03414","Tunas, skipjack or stripe-bellied bonito, fresh or chilled (excluding liv",8,"Weight in kilograms",11951,NA,NA,NA,11951,NA,70602,NA,NA,6
"29","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03418","Other fish, fresh or chilled (excluding livers and roes)",8,"Weight in kilograms",665882,NA,NA,NA,665882,NA,2923614,NA,NA,6
"30","S3",2002,2002,2002,4,0,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"0342","Fish,frozen ex.fillets",8,"Weight in kilograms",24820669,NA,NA,NA,24820669,NA,41096672,NA,NA,6
"31","S3",2002,2002,2002,5,1,1,"Import",842,"USA","USA",156,"China","CHN",NA,NA,NA,NA,NA,NA,NA,"03421","Salmonidae, frozen (excluding livers and roes)",8,"Weight in kilograms",30174,NA,NA,NA,30174,NA,69454,NA,NA,6
