"","X1","X2","X3","X4","X5","X6","X7","X8"
"1","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"2","United Kingdom(1991)","SITC Rev.3","GBP","Import","1.766600","General","CIF","Consignment"
"3","United Kingdom(1991)","SITC Rev.3","GBP","Export","1.766741","General","FOB","Last Known Destination"
"4","1","1","1","1","1","1","1","1"
"5","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"6","United Kingdom(1992)","SITC Rev.3","GBP","Import","1.761050","General","CIF","Consignment"
"7","United Kingdom(1992)","SITC Rev.3","GBP","Export","1.755463","General","FOB","Last Known Destination"
"8","1","1","1","1","1","1","1","1"
"9","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"10","United Kingdom(1993)","HS1992","GBP","Import","1.501560","General","CIF","Consignment"
"11","United Kingdom(1993)","HS1992","GBP","Export","1.501280","General","FOB","Last Known Destination"
"12","1","1","1","1","1","1","1","1"
"13","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"14","United Kingdom(1994)","HS1992","GBP","Import","1.532700","General","CIF","Consignment"
"15","United Kingdom(1994)","HS1992","GBP","Export","1.533560","General","FOB","Last Known Destination"
"16","1","1","1","1","1","1","1","1"
"17","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"18","United Kingdom(1995)","HS1992","GBP","Import","1.578770","General","CIF","Consignment"
"19","United Kingdom(1995)","HS1992","GBP","Export","1.578303","General","FOB","Last Known Destination"
"20","1","1","1","1","1","1","1","1"
"21","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"22","United Kingdom(1996)","HS1996","GBP","Import","1.561170","General","CIF","Consignment"
"23","United Kingdom(1996)","HS1996","GBP","Export","1.562279","General","FOB","Last Known Destination"
"24","1","1","1","1","1","1","1","1"
"25","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"26","United Kingdom(1997)","HS1996","GBP","Import","1.638200","General","CIF","Consignment"
"27","United Kingdom(1997)","HS1996","GBP","Export","1.638048","General","FOB","Last Known Destination"
"28","1","1","1","1","1","1","1","1"
"29","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"30","United Kingdom(1998)","HS1996","GBP","Import","1.656900","General","CIF","Consignment"
"31","United Kingdom(1998)","HS1996","GBP","Export","1.656970","General","FOB","Last Known Destination"
"32","1","1","1","1","1","1","1","1"
"33","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"34","United Kingdom(1999)","HS1996","GBP","Import","1.618130","General","CIF","Consignment"
"35","United Kingdom(1999)","HS1996","GBP","Export","1.618539","General","FOB","Last Known Destination"
"36","1","1","1","1","1","1","1","1"
"37","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"38","United Kingdom(2000)","HS1996","GBP","Import","1.513617","General","CIF","Origin/Consignment for Intra-EU"
"39","United Kingdom(2000)","HS1996","GBP","Export","1.513413","General","FOB","Last Known Destination"
"40","1","1","1","1","1","1","1","1"
"41","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"42","United Kingdom(2001)","HS1996","GBP","Import","1.439754","General","CIF","Origin/Consignment for Intra-EU"
"43","United Kingdom(2001)","HS1996","GBP","Export","1.440077","General","FOB","Last Known Destination"
"44","1","1","1","1","1","1","1","1"
"45","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"46","United Kingdom(2002)","HS2002","GBP","Import","1.501383","General","CIF","Origin/Consignment for Intra-EU"
"47","United Kingdom(2002)","HS2002","GBP","Export","1.500408","General","FOB","Last Known Destination"
"48","1","1","1","1","1","1","1","1"
"49","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"50","United Kingdom(2003)","HS2002","GBP","Import","1.634786","General","CIF","Origin/Consignment for Intra-EU"
"51","United Kingdom(2003)","HS2002","GBP","Export","1.634023","General","FOB","Last Known Destination"
"52","1","1","1","1","1","1","1","1"
"53","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"54","United Kingdom(2004)","HS2002","GBP","Import","1.831975","General","CIF","Origin/Consignment for Intra-EU"
"55","United Kingdom(2004)","HS2002","GBP","Export","1.832355","General","FOB","Last Known Destination"
"56","1","1","1","1","1","1","1","1"
"57","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"58","United Kingdom(2005)","HS2002","GBP","Import","1.817540","General","CIF","Origin/Consignment for Intra-EU"
"59","United Kingdom(2005)","HS2002","GBP","Export","1.817179","General","FOB","Last Known Destination"
"60","1","1","1","1","1","1","1","1"
"61","Reporter","Reported Classification","Reported Currency","Trade Flow","Currency Conversion Factor","Trade System","Valuation","Partner"
"62","United Kingdom(2006)","HS2002","GBP","Import","1.839358","General","CIF","Origin/Consignment for Intra-EU"
"63","United Kingdom(2006)","HS2002","GBP","Export","1.837440","General","FOB","Last Known Destination"
"64","1","1","1","1","1","1","1","1"
