"","DATE_NAME","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GENDER_NAME","C_AGE_NAME","MEASURES_NAME","OBS_VALUE","OBS_STATUS_NAME"
"1",2020,"Darlington","E06000005","Total","All Ages","Value",107402,"Normal Value"
"2",2020,"County Durham","E06000047","Total","All Ages","Value",533149,"Normal Value"
"3",2020,"Hartlepool","E06000001","Total","All Ages","Value",93836,"Normal Value"
"4",2020,"Middlesbrough","E06000002","Total","All Ages","Value",141285,"Normal Value"
"5",2020,"Northumberland","E06000057","Total","All Ages","Value",323820,"Normal Value"
"6",2020,"Redcar and Cleveland","E06000003","Total","All Ages","Value",137228,"Normal Value"
"7",2020,"Stockton-on-Tees","E06000004","Total","All Ages","Value",197419,"Normal Value"
"8",2020,"Gateshead","E08000037","Total","All Ages","Value",201950,"Normal Value"
"9",2020,"Newcastle upon Tyne","E08000021","Total","All Ages","Value",306824,"Normal Value"
"10",2020,"North Tyneside","E08000022","Total","All Ages","Value",208871,"Normal Value"
"11",2020,"South Tyneside","E08000023","Total","All Ages","Value",151133,"Normal Value"
"12",2020,"Sunderland","E08000024","Total","All Ages","Value",277846,"Normal Value"
"13",2020,"Blackburn with Darwen","E06000008","Total","All Ages","Value",150030,"Normal Value"
"14",2020,"Blackpool","E06000009","Total","All Ages","Value",138381,"Normal Value"
"15",2020,"Cheshire East","E06000049","Total","All Ages","Value",386667,"Normal Value"
"16",2020,"Cheshire West and Chester","E06000050","Total","All Ages","Value",343823,"Normal Value"
"17",2020,"Halton","E06000006","Total","All Ages","Value",129759,"Normal Value"
"18",2020,"Warrington","E06000007","Total","All Ages","Value",209397,"Normal Value"
"19",2020,"Allerdale","E07000026","Total","All Ages","Value",97831,"Normal Value"
"20",2020,"Barrow-in-Furness","E07000027","Total","All Ages","Value",66726,"Normal Value"
"21",2020,"Carlisle","E07000028","Total","All Ages","Value",108524,"Normal Value"
"22",2020,"Copeland","E07000029","Total","All Ages","Value",68041,"Normal Value"
"23",2020,"Eden","E07000030","Total","All Ages","Value",53754,"Normal Value"
"24",2020,"South Lakeland","E07000031","Total","All Ages","Value",104905,"Normal Value"
"25",2020,"Bolton","E08000001","Total","All Ages","Value",288248,"Normal Value"
"26",2020,"Bury","E08000002","Total","All Ages","Value",190708,"Normal Value"
